id,name,has_cargo_toml,has_cargo_lock
MDEwOlJlcG9zaXRvcnk0NzExMTQ=,dscho/msys,false,false
MDEwOlJlcG9zaXRvcnk0NzE3Mjc=,Axel-Naumann/clang,false,false
MDEwOlJlcG9zaXRvcnk0NzQyNDM=,badi/playground,false,false
MDEwOlJlcG9zaXRvcnk0ODM1Mzg=,SpliFF/upspring,false,false
MDEwOlJlcG9zaXRvcnk0ODU4Mjk=,lwh/Pana,false,false
MDEwOlJlcG9zaXRvcnk0ODgxNTU=,jmesmon/trifles,false,false
MDEwOlJlcG9zaXRvcnk0OTEyMjU=,tylerwhall/CECS-525-QEMU,false,false
MDEwOlJlcG9zaXRvcnk0OTY1ODY=,axiom/bindir,false,false
MDEwOlJlcG9zaXRvcnk1MTIxMTc=,detro/coding-exercises,false,false
MDEwOlJlcG9zaXRvcnk1MTI5MzY=,mycroft/mnkPasswordKeeper,false,false
MDEwOlJlcG9zaXRvcnk1MTY3ODM=,jaalto/project--procmail-lib,false,false
MDEwOlJlcG9zaXRvcnk1MTgwMzY=,jaz303/scrap,false,false
MDEwOlJlcG9zaXRvcnk1MjA2MTU=,skorokithakis/omnisync,false,false
MDEwOlJlcG9zaXRvcnk1MzIzNzk=,yukke64/mingw_xyzzy,false,false
MDEwOlJlcG9zaXRvcnk1MzI4MDU=,jonasferry/TclRobots,false,false
MDEwOlJlcG9zaXRvcnk1NTIxOTM=,mysmartgrid/msg-chumby-display,false,false
MDEwOlJlcG9zaXRvcnk1NTgwMjY=,solj/bcfg2-old,false,false
MDEwOlJlcG9zaXRvcnk1NTg3MTU=,enthus/scholarzhang0,false,false
MDEwOlJlcG9zaXRvcnk1NjA3NTk=,pcapriotti/hikki,false,false
MDEwOlJlcG9zaXRvcnk1NjQzOTI=,ChadyG/MUGE,false,false
MDEwOlJlcG9zaXRvcnk1Nzk5MDg=,N3X15/Luna-Viewer,false,false
MDEwOlJlcG9zaXRvcnk1Nzg4Mzk=,universal-ctags/ctags,false,false
MDEwOlJlcG9zaXRvcnk1ODY4ODE=,dacresni/grabmem,false,false
MDEwOlJlcG9zaXRvcnk1ODcxODU=,Kovensky/mplayer-kovensky,false,false
MDEwOlJlcG9zaXRvcnk2MTU5NjI=,suztomo/LanguageStudy,false,false
MDEwOlJlcG9zaXRvcnk2MTgxNTk=,leavittx/revenge,false,false
MDEwOlJlcG9zaXRvcnk2MjQ0ODk=,epage/MaemoPythonSkeleton,false,false
MDEwOlJlcG9zaXRvcnk2MjYzNTY=,jkowalski/NLog,false,false
MDEwOlJlcG9zaXRvcnk2MzA2NjY=,qpliu/esolang,false,false
MDEwOlJlcG9zaXRvcnk2NDIwNzg=,fits/try_samples,false,false
MDEwOlJlcG9zaXRvcnk2NDY3NjE=,kdiverson/phyloGeoRef,false,false
MDEwOlJlcG9zaXRvcnk2NDk2NTI=,panozzaj/ufo2000,false,false
MDEwOlJlcG9zaXRvcnk2NTY4MjI=,jabirali/Config,false,false
MDEwOlJlcG9zaXRvcnk2NjIzMzQ=,chadaustin/renaissance,false,false
MDEwOlJlcG9zaXRvcnk2NjM2Mjg=,lexspoon/scalagwt-gwt,false,false
MDEwOlJlcG9zaXRvcnk2NzAxODk=,adam-nielsen/killapp,false,false
MDEwOlJlcG9zaXRvcnk2NzE2ODk=,Siriuscoder/NovaEngine,false,false
MDEwOlJlcG9zaXRvcnk2NzMyMjk=,droundy/deft,false,false
MDEwOlJlcG9zaXRvcnk2NzMzODA=,kow/gridsearch,false,false
MDEwOlJlcG9zaXRvcnk2Nzk0ODk=,annatar/YencPowerPost,false,false
MDEwOlJlcG9zaXRvcnk2ODMwMDM=,avsej/vimfiles,false,false
MDEwOlJlcG9zaXRvcnk2ODM0Mzc=,Harvie/Programs,false,false
MDEwOlJlcG9zaXRvcnk2ODQyOTU=,coil-lighting/sinuous,false,false
MDEwOlJlcG9zaXRvcnk2ODYxNDA=,brianb/FreeTDS,false,false
MDEwOlJlcG9zaXRvcnk2OTUxMDU=,jerrypnz/playground,false,false
MDEwOlJlcG9zaXRvcnk2OTg0ODg=,PotHix/pothix-codes,false,false
MDEwOlJlcG9zaXRvcnk3MDM5MTQ=,andygrundman/mp3-cut-gapless,false,false
MDEwOlJlcG9zaXRvcnk3MTA4MzU=,bobrippling/comm,false,false
MDEwOlJlcG9zaXRvcnk3MTc4NTk=,KirarinSnow/Google-Code-Jam,false,false
MDEwOlJlcG9zaXRvcnk3MjMzODY=,btv/project_euler,false,false
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust-lang/rust,false,false
MDEwOlJlcG9zaXRvcnk3MjkwNjU=,davewood/catalyst-traitfor-controller-sendfile,false,false
MDEwOlJlcG9zaXRvcnk3MzI1OTM=,cloudera/hue,false,false
MDEwOlJlcG9zaXRvcnk3MzM0OTk=,mega-t72/vc,false,false
MDEwOlJlcG9zaXRvcnk3MzcxNzg=,darius/superbench,false,false
MDEwOlJlcG9zaXRvcnk3NDMzNTM=,lijinhui/.emacs.d,false,false
MDEwOlJlcG9zaXRvcnk3NDk3Mzk=,xenith-studios/ataxia,true,true
MDEwOlJlcG9zaXRvcnk3NTE3OTI=,halcyon/old-dotfiles,false,false
MDEwOlJlcG9zaXRvcnk3NTgxNjA=,CyanogenMod/android_vendor_htc_dream_sapphire,false,false
MDEwOlJlcG9zaXRvcnk3NTgzMjM=,CyanogenMod/android_packages_apps_Camera,false,false
MDEwOlJlcG9zaXRvcnk3NjAyNjg=,CyanogenMod/android_vendor_google_passion,false,false
MDEwOlJlcG9zaXRvcnk3NjM4NTc=,num3ric/vertexDisplac,false,false
MDEwOlJlcG9zaXRvcnk3NzE1Nzc=,CyanogenMod/android_device_yuhua_x2,false,false
MDEwOlJlcG9zaXRvcnk3NzgzODk=,mariogeiger/Sudoku-Resolver-Multicore,false,false
MDEwOlJlcG9zaXRvcnk3ODA5Mzg=,dv1/ion_player,false,false
MDEwOlJlcG9zaXRvcnk3ODU3MjE=,lsdev/litestep-,false,false
MDEwOlJlcG9zaXRvcnk3OTQ1Mjg=,tautologico/dsalgo,false,false
MDEwOlJlcG9zaXRvcnk4MDUwODg=,msup/RayEngine,false,false
MDEwOlJlcG9zaXRvcnk4MDU5ODc=,dirvine/sandbox,false,false
MDEwOlJlcG9zaXRvcnk4MDg0NzE=,trygvis/jop,false,false
MDEwOlJlcG9zaXRvcnk4MjU4OTQ=,MotoMagic/android_device_moto_shadow,false,false
MDEwOlJlcG9zaXRvcnk4Mjg2MjM=,floere/picky,false,false
MDEwOlJlcG9zaXRvcnk4MzYxMTY=,havlenapetr/android_frameworks_base,false,false
MDEwOlJlcG9zaXRvcnk4Mzg1Njg=,Amor/Clientmod,false,false
MDEwOlJlcG9zaXRvcnk4NDA1NTg=,luebbers/reconos,false,false
MDEwOlJlcG9zaXRvcnk4NDgyNTM=,Fleurer/fleurer.github.com,false,false
MDEwOlJlcG9zaXRvcnk4NTI5OTk=,yurial/netmark,false,false
